question,category,law,answer,severity,action
Can a student request duplicate marksheet?,Documents,Board Rules,"Yes. Under Board Rules, Yes. Request in writing and keep acknowledgment; escalate to the university/board if delayed.",Low,Grievance/Appeal
Can teachers mark attendance without class?,Attendance,UGC,"No. Under UGC, No. Submit valid documents (medical etc.) and request condonation as per rules.",Low,Complaint
Can a college deny grievance hearing?,Legal,UGC,"No. Under UGC, No. You can use the grievance system or approach appropriate legal forums depending on severity.",Low,Complaint
Can a student protest fee hike?,Freedom,Article 19,"Yes. Under Article 19, Yes peacefully. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a school deny science lab access?,Academics,Education Rules,"No. Under Education Rules, No. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can students be fined for noise?,Discipline,College Policy,"Yes. Under College Policy, Yes. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can a student request change of teacher?,Academics,College Rules,"Under College Rules, Depends. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can a college delay exams intentionally?,Exams,UGC,"No. Under UGC, No. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can students get compensation for negligence?,Legal,Consumer Law,"Yes. Under Consumer Law, Yes. You can use the grievance system or approach appropriate legal forums depending on severity.",Low,Complaint
Can a school deny transfer mid-session?,Admission,Education Law,"Yes. Under Education Law, Yes sometimes. Seek written reasons and use the grievance redressal mechanism; escalate to the regulator if required.",Low,Grievance/Appeal
Can a student refuse group projects?,Academics,University Rules,"No. Under University Rules, No. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can colleges enforce curfew in hostel?,Discipline,Hostel Rules,"Yes. Under Hostel Rules, Yes. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can a student challenge grading system?,Exams,UGC,"Yes. Under UGC, Yes. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can a school deny extracurricular activities?,Activities,Education Policy,"No. Under Education Policy, No. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can students demand syllabus copy?,Academics,UGC,"Yes. Under UGC, Yes. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can colleges restrict parking?,Facilities,College Policy,"Yes. Under College Policy, Yes. Raise a written complaint with administration; escalate if unresolved.",Low,Complaint
Can a student demand refund for cancelled classes?,Fees,UGC,"Yes. Under UGC, Yes. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Can schools deny midday meal quality?,Welfare,Govt Scheme,"No. Under Govt Scheme, No. Use institutional grievance systems and relevant government schemes for relief.",Low,Complaint
Can a student be punished for absence during strike?,Attendance,University Rules,"Under University Rules, Depends. Submit valid documents (medical etc.) and request condonation as per rules.",Low,Complaint
Can a college restrict outsiders entry?,Security,College Policy,"Yes. Under College Policy, Yes. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can students use college property freely?,Facilities,College Rules,"Under College Rules, Within limits. Raise a written complaint with administration; escalate if unresolved.",Low,Complaint
Can a student demand fair seating in exam?,Exams,UGC,"Yes. Under UGC, Yes. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can a school deny sports ground access?,Activities,Education Policy,"No. Under Education Policy, No. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can colleges change hostel rules anytime?,Hostel,UGC,"Under UGC, With notice. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can students complain about food quality?,Welfare,Consumer Law,"Yes. Under Consumer Law, Yes. Use institutional grievance systems and relevant government schemes for relief.",Low,Complaint
Can a student refuse attendance marking system?,Attendance,College Policy,"No. Under College Policy, No. Submit valid documents (medical etc.) and request condonation as per rules.",Low,Complaint
Can colleges enforce ID card display?,Discipline,College Rules,"Yes. Under College Rules, Yes. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can a student request identity correction?,Documents,Govt Rules,"Yes. Under Govt Rules, Yes. Request in writing and keep acknowledgment; escalate to the university/board if delayed.",Low,Grievance/Appeal
Can a school deny emergency leave?,Attendance,School Rules,"Under School Rules, Depends. Submit valid documents (medical etc.) and request condonation as per rules.",Low,Complaint
Can a college deny exam center choice?,Exams,University Rules,"Yes. Under University Rules, Yes. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can students demand transparency in grading?,Exams,UGC,"Yes. Under UGC, Yes. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can a student challenge unfair viva marks?,Exams,University Rules,"Yes. Under University Rules, Yes. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can a college deny cultural participation?,Activities,Education Policy,"No. Under Education Policy, No. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a student be punished for dress violation?,Discipline,College Rules,"Yes. Under College Rules, Yes. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can schools deny admission due to low seats?,Admission,Education Law,"Yes. Under Education Law, Yes. Seek written reasons and use the grievance redressal mechanism; escalate to the regulator if required.",Low,Grievance/Appeal
can a collage denaye admission of the student based on the caste,User Learned,Feedback,"[Discrimination] No. Under Article 15 - Constitution, No, discrimination based on caste is illegal. You can use the institution grievance redressal system and escalate to the appropriate authority if the issue persists. (Confidence: 80.49%)",Medium,Learned
if any student want to complain against college for extra fee he can do it,User Learned,Feedback,"[Legal] Yes. Under RTI Act, Yes, for govt institutions. You can use the grievance system or approach appropriate legal forums depending on severity. (Confidence: 30.97%)",Medium,Learned
can a student complain against university for doing unrspected behavior from student based on his caste,User Learned,Feedback,"[Discrimination] No. Under Article 15 - Constitution, No, discrimination based on caste is illegal. You can use the institution grievance redressal system and escalate to the appropriate authority if the issue persists. (Confidence: 52.14%)",Medium,Learned
can college ask for extra fee,User Learned,Feedback,"[Fees] Under UGC, Only if policy exists. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum. (Confidence: 46.89%)",Medium,Learned
My college asked for an additional 'development fee' after I had already paid the full tuition. Is this legal?,Housing Fraud,UGC Guidelines,"In this situation, the issue appears to be related to housing fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The placement cell arranged fake interviews just to show records. Is this punishable?,Privacy Fraud,Indian Penal Code,"In this situation, the issue appears to be related to privacy fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The hostel charged full fees but basic facilities like water and electricity are missing. Can I complain?,Placement Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to placement fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My college asked for an additional 'development fee' after I had already paid the full tuition. Is this legal?,Housing Fraud,IT Act 2000,"In this situation, the issue appears to be related to housing fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The institute promised international placements during admission but now says it's not guaranteed. What can I do?,Fees Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to fees fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
I paid a donation for admission but got no receipt. How can I take action?,Admission Fraud,UGC Guidelines,"In this situation, the issue appears to be related to admission fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
I paid a donation for admission but got no receipt. How can I take action?,Scholarship Fraud,Indian Penal Code,"In this situation, the issue appears to be related to scholarship fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The placement cell arranged fake interviews just to show records. Is this punishable?,Academic Fraud,Indian Penal Code,"In this situation, the issue appears to be related to academic fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My internal marks were reduced after I refused to pay extra money. What should I do?,Scholarship Fraud,UGC Act 1956,"In this situation, the issue appears to be related to scholarship fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Housing Fraud,UGC Guidelines,"In this situation, the issue appears to be related to housing fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Placement Fraud,UGC Guidelines,"In this situation, the issue appears to be related to placement fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My scholarship amount was credited to the college but never given to me. What legal steps can I take?,Placement Fraud,UGC Guidelines,"In this situation, the issue appears to be related to placement fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My scholarship amount was credited to the college but never given to me. What legal steps can I take?,Placement Fraud,UGC Guidelines,"In this situation, the issue appears to be related to placement fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The college forced me to buy books from their own store at higher prices. Is this allowed?,Scholarship Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to scholarship fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My college asked for an additional 'development fee' after I had already paid the full tuition. Is this legal?,Privacy Fraud,UGC Act 1956,"In this situation, the issue appears to be related to privacy fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My college asked for an additional 'development fee' after I had already paid the full tuition. Is this legal?,Academic Fraud,UGC Guidelines,"In this situation, the issue appears to be related to academic fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My university is delaying my degree without any valid reason. Is this considered fraud?,Placement Fraud,UGC Guidelines,"In this situation, the issue appears to be related to placement fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My college asked for an additional 'development fee' after I had already paid the full tuition. Is this legal?,Housing Fraud,Indian Penal Code,"In this situation, the issue appears to be related to housing fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The college forced me to buy books from their own store at higher prices. Is this allowed?,Housing Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to housing fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The college forced me to buy books from their own store at higher prices. Is this allowed?,Academic Fraud,Indian Penal Code,"In this situation, the issue appears to be related to academic fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My internal marks were reduced after I refused to pay extra money. What should I do?,Fees Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to fees fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Placement Fraud,UGC Guidelines,"In this situation, the issue appears to be related to placement fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My internal marks were reduced after I refused to pay extra money. What should I do?,Housing Fraud,UGC Guidelines,"In this situation, the issue appears to be related to housing fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The hostel charged full fees but basic facilities like water and electricity are missing. Can I complain?,Admission Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to admission fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The institute promised international placements during admission but now says it's not guaranteed. What can I do?,Housing Fraud,UGC Act 1956,"In this situation, the issue appears to be related to housing fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
I paid a donation for admission but got no receipt. How can I take action?,Admission Fraud,IT Act 2000,"In this situation, the issue appears to be related to admission fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My scholarship amount was credited to the college but never given to me. What legal steps can I take?,Privacy Fraud,Indian Penal Code,"In this situation, the issue appears to be related to privacy fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The college forced me to buy books from their own store at higher prices. Is this allowed?,Placement Fraud,IT Act 2000,"In this situation, the issue appears to be related to placement fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My internal marks were reduced after I refused to pay extra money. What should I do?,Fees Fraud,UGC Act 1956,"In this situation, the issue appears to be related to fees fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
I paid a donation for admission but got no receipt. How can I take action?,Privacy Fraud,IT Act 2000,"In this situation, the issue appears to be related to privacy fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The placement cell arranged fake interviews just to show records. Is this punishable?,Academic Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to academic fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The placement cell arranged fake interviews just to show records. Is this punishable?,Privacy Fraud,UGC Guidelines,"In this situation, the issue appears to be related to privacy fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
I paid a donation for admission but got no receipt. How can I take action?,Privacy Fraud,IT Act 2000,"In this situation, the issue appears to be related to privacy fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Privacy Fraud,IT Act 2000,"In this situation, the issue appears to be related to privacy fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My scholarship amount was credited to the college but never given to me. What legal steps can I take?,Scholarship Fraud,UGC Guidelines,"In this situation, the issue appears to be related to scholarship fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My university is delaying my degree without any valid reason. Is this considered fraud?,Housing Fraud,Indian Penal Code,"In this situation, the issue appears to be related to housing fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My internal marks were reduced after I refused to pay extra money. What should I do?,Housing Fraud,Indian Penal Code,"In this situation, the issue appears to be related to housing fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The placement cell arranged fake interviews just to show records. Is this punishable?,Fees Fraud,UGC Act 1956,"In this situation, the issue appears to be related to fees fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The institute promised international placements during admission but now says it's not guaranteed. What can I do?,Academic Fraud,Indian Penal Code,"In this situation, the issue appears to be related to academic fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My scholarship amount was credited to the college but never given to me. What legal steps can I take?,Scholarship Fraud,IT Act 2000,"In this situation, the issue appears to be related to scholarship fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My university is delaying my degree without any valid reason. Is this considered fraud?,Scholarship Fraud,IT Act 2000,"In this situation, the issue appears to be related to scholarship fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The placement cell arranged fake interviews just to show records. Is this punishable?,Scholarship Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to scholarship fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The college forced me to buy books from their own store at higher prices. Is this allowed?,Academic Fraud,UGC Act 1956,"In this situation, the issue appears to be related to academic fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My internal marks were reduced after I refused to pay extra money. What should I do?,Admission Fraud,UGC Guidelines,"In this situation, the issue appears to be related to admission fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The institute promised international placements during admission but now says it's not guaranteed. What can I do?,Placement Fraud,UGC Act 1956,"In this situation, the issue appears to be related to placement fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
I paid a donation for admission but got no receipt. How can I take action?,Fees Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to fees fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
